acc_x,acc_y
6.0007,-11.719000000000001
6.0011,-16.18
6.0015,-15.052999999999999
6.0019,-9.6556
6.0023,-2.8009
6.0027,1.9758
6.0031,3.0148
6.0035,1.5786
6.0039,-1.0704
6.0043,-3.4321
6.0047,-3.6271
6.0051,-1.8186
6.0055,0.0005672
6.0059,0.50058
6.0063,-0.038439
6.0067,-1.5278
6.0071,-3.9924
6.0075,-5.7974
6.0079,-5.7903
6.0083,-4.2619
6.0087,-1.276
6.0091,4.1921
6.0095,10.689
6.0099,13.242
6.0103,9.1816
6.0107,1.9935
6.0111,-3.6023
6.0115,-7.0563
6.0119,-7.7974
6.0123,-4.4144
6.0127,2.0041
6.0131,7.0858
6.0135,6.8376
6.0139,3.7524
6.0143,2.873
6.0147,4.4155
6.0151,6.9404
6.0155,9.9972
6.0159,11.508
6.0163,9.4617
6.0167,5.9510000000000005
6.0171,3.3162
6.0175,0.78783
6.0179,-2.7761
6.0183,-6.5953
6.0187,-8.4712
6.0191,-7.4463
6.0195,-3.7832
6.0199,2.4545
6.0203,9.0681
6.0207,11.703
6.0211,7.7667
6.0215,-0.76539
6.0219,-8.5811
6.0223,-11.89
6.0227,-11.074000000000002
6.0231,-10.23
6.0235,-11.414000000000001
6.0239,-12.305
6.0243,-8.691
6.0247,-0.58098
6.0251,6.7028
6.0255,9.1036
6.0259,7.5043
6.0263,3.7205
6.0267,-1.5101
6.0271,-6.0314
6.0275,-7.6129999999999995
6.0279,-7.9676
6.0283,-9.0598
6.0287,-8.3364
6.0291,-3.5349
6.0295,2.0893
6.0299,4.8305
6.0303,5.4404
6.0307,5.9617
6.0311,6.9156
6.0315,8.1249
6.0319,8.4901
6.0323,6.5362
6.0327,0.28074
6.0331,-10.035
6.0335,-19.532
6.0339,-20.479
6.0343,-9.2584
6.0347,7.5681
6.0351,19.061
6.0355,21.511999999999997
6.0359,19.558
6.0363,16.426
6.0367,12.425999999999998
6.0371,8.2064
6.0375,2.4226
6.0379,-6.0314
6.0383,-14.017000000000001
6.0387,-15.422
6.0391,-8.2336
6.0395,2.0255
6.0399,9.3554
6.0403,11.987
6.0407,9.7668
6.0411,3.4369
6.0415,-2.3647
6.0419,-2.2796
6.0423,1.6921
6.0427,2.1425
6.0431,-4.8364
6.0435,-15.478
6.0439,-22.066999999999997
6.0443,-19.372
6.0447,-8.8613
6.0451,1.7382
6.0455,6.1603
6.0459,5.0433
6.0463,3.8092
6.0467,4.1177
6.0471,3.1071
6.0475,-1.3363
6.0479,-8.1769
6.0483,-14.035
6.0487,-14.287
6.0491,-7.5527
6.0495,1.8730000000000002
6.0499,8.0859
6.0503,8.3341
6.0507,3.2596
6.0511,-3.5987
6.0515,-7.4818
6.0519,-4.769
6.0523,3.5149
6.0527,11.440999999999999
6.0531,12.26
6.0535,4.5291
6.0539,-5.9038
6.0543,-12.562999999999999
6.0547,-13.099
6.0551,-7.7052
6.0555,1.7915
6.0559,10.99
6.0563,16.227999999999998
6.0567,18.363
6.0571,18.643
6.0575,13.192
6.0579,1.1141
6.0583,-8.6733
6.0587,-8.4145
6.0591,-1.1873
6.0595,5.4795
6.0599,8.4654
6.0603,7.4973
6.0607,2.9227
6.0611,-1.5881
6.0615,-1.3469
6.0619,3.4794
6.0623,7.3306
6.0627,5.2384
6.0631,-1.4994
6.0635,-7.2371
6.0639,-8.8506
6.0643,-8.3825
6.0647,-8.6733
6.0651,-9.3116
6.0655,-7.7052
6.0659,-3.1235
6.0663,2.7383
6.0667,6.6036
6.0671,4.8447
6.0675,-1.5703
6.0679,-8.0847
6.0683,-11.042
